_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat Apr 29 21:46:00 UTC 2017	46.0	1.130975232E9	412449.625	2.0	2.680832E7	4696.34521484375	14.0	1.09316096E9	1389.9827880859375	10.0	4.0	1.11837184E9	1.11683584E9	124370.2265625	0.06875000149011612	0.06024999916553497	0.052000001072883606	0.07625000178813934	0.9209181666374207	20.0	348.0	307.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0198602E7	2.4405901E7	4466974.0	3790521.0	5187178.0	3210235.0	1.9732942E7	4351752.0	4351752.0	1845649.0	2049972.0	
Sat Apr 29 21:45:00 UTC 2017	34.0	1.130364928E9	412449.625	1.0	2.5649152E7	4696.34521484375	9.0	1.093095424E9	1389.9827880859375	7.0	2.0	1.119612928E9	1.11802368E9	124370.2265625	0.08950000256299973	0.06224999949336052	0.0560000017285347	0.07450000196695328	0.9207674264907837	20.0	268.0	223.0	0.0	0.0	0.0	0.0	0.0	0.0	4.925874E7	2.1970582E7	3462699.0	3531858.0	6288471.0	2933508.0	1.9821035E7	4632748.0	4632748.0	1373210.0	1329435.0	
Sat Apr 29 21:44:00 UTC 2017	23.0	1.13041408E9	211133.265625	1.0	2.6804224E7	4696.34521484375	10.0	1.09293568E9	1285.9283447265625	8.0	1.0	1.118543872E9	1.118109696E9	124370.2265625	0.07000000029802322	0.0677499994635582	0.051249999552965164	0.07124999910593033	0.92044597864151	20.0	214.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1814075E7	1.8658154E7	3368384.0	2934527.0	3528807.0	3137862.0	1.6868612E7	4544757.0	4544757.0	1336056.0	1828994.0	
Sat Apr 29 21:43:00 UTC 2017	22.0	1.1314176E9	211133.265625	1.0	2.6804224E7	3888.318359375	8.0	1.092927488E9	1199.25634765625	8.0	1.0	1.119657984E9	1.118199808E9	124370.2265625	0.061000000685453415	0.06174999848008156	0.054999999701976776	0.07074999809265137	0.9203657507896423	10.0	171.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8513326E7	2.4547561E7	3739292.0	5481177.0	3710458.0	3893430.0	1.8605582E7	4143167.0	4143167.0	1515281.0	1364269.0	
Sat Apr 29 21:42:00 UTC 2017	22.0	1.13041408E9	211133.265625	1.0	2.6804224E7	2626.507080078125	6.0	1.092919296E9	669.2667846679688	4.0	0.0	1.11925248E9	1.11730688E9	44572.8125	0.06750000268220901	0.06274999678134918	0.05575000122189522	0.06849999725818634	0.9216016530990601	10.0	130.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0665129E7	2.7727604E7	4185640.0	3310654.0	2295819.0	4439209.0	2.0916794E7	4403734.0	4403734.0	1496526.0	1782045.0	
Sat Apr 29 21:41:00 UTC 2017	13.0	1.131352064E9	211133.265625	0.0	2.6804224E7	2300.917724609375	6.0	1.092980736E9	413.1903381347656	4.0	0.0	1.1183104E9	1.118437376E9	44572.8125	0.06400000303983688	0.054249998182058334	0.04800000041723251	0.05974999815225601	0.9201421737670898	10.0	102.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	6035436.0	2.2762875E7	2649550.0	4027371.0	null	2770213.0	1.868205E7	4216089.0	4216089.0	1270195.0	1311455.0	
Sat Apr 29 21:40:00 UTC 2017	11.0	1.131352064E9	101504.6796875	0.0	2.6804224E7	1694.79931640625	6.0	1.092816896E9	413.1903381347656	3.0	1.0	1.119428608E9	1.118527488E9	44572.8125	0.06925000250339508	0.06324999779462814	0.051750000566244125	0.061000000685453415	0.9201998710632324	5.0	78.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	null	2.1101786E7	null	3723381.0	null	4224132.0	1.7011825E7	4309370.0	4309370.0	1418898.0	1825575.0	
Sat Apr 29 21:39:00 UTC 2017	7.0	1.130348544E9	101504.6796875	0.0	2.6800128E7	990.7997436523438	5.0	1.092722688E9	413.1903381347656	3.0	0.0	1.118543872E9	1.1186176E9	44572.8125	0.06449999660253525	0.06174999848008156	0.04675000160932541	0.06274999678134918	0.9201979637145996	5.0	54.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	null	1.7189775E7	null	3166862.0	null	3820983.0	1.3485707E7	4301366.0	4301366.0	1609722.0	1355282.0	
Sat Apr 29 21:38:00 UTC 2017	8.0	1.130348544E9	134023.109375	0.0	2.6800128E7	1554.6767578125	5.0	1.092718592E9	423.8316345214844	4.0	1.0	1.118629888E9	1.118707712E9	51116.765625	0.06400000303983688	0.054249998182058334	0.05400000140070915	0.06475000083446503	0.9201588034629822	5.0	36.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	null	1.7106323E7	null	3900868.0	null	3390770.0	1.3454194E7	4113292.0	4113292.0	1417808.0	1647646.0	
Sat Apr 29 21:37:00 UTC 2017	10.0	1.130348544E9	null	0.0	2.6800128E7	0.0	5.0	1.092718592E9	423.8316345214844	4.0	2.0	1.11872E9	1.117753344E9	14310.638671875	0.06224999949336052	0.06024999916553497	0.05274999886751175	0.07000000029802322	0.92005455493927	3.0	18.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	null	2.3148026E7	null	5425998.0	null	4450909.0	1.8436001E7	4543261.0	4543261.0	1695270.0	1278812.0	
Sat Apr 29 21:36:00 UTC 2017	7.0	1.131352064E9	null	0.0	2.5645056E7	0.0	7.0	1.092714496E9	null	1.0	2.0	1.118797824E9	1.11888384E9	null	0.06975000351667404	0.060750000178813934	0.05950000137090683	0.06599999964237213	0.9200305938720703	3.0	18.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	null	1.525618E7	null	6437927.0	null	8618533.0	1.2418111E7	5304783.0	5304783.0	4052072.0	1557745.0	
Sat Apr 29 21:35:00 UTC 2017	3.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	3.0	null	null	null	null	null	null	null	null	null	8482752.0	null	8079641.0	null	7666393.0	6867448.0	5910414.0	5910414.0	2905370.0	2900280.0	
