_DATE,cpuusage_middle,memusage_middle,cpuusage_server,memusage_server,cpuusage_edge1,memusage_edge1,cpuusage_edge2,memusage_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,locustusers,status_200_count1,status_500_count1,status_0_count1,status_other_count1,status_200_count2,status_500_count2,status_0_count2,status_other_count2,responseTimePercentile_middle,responseTimePercentile_edge1,responseTimePercentile_edge2
2017-04-20-19:44:00,354,1064964096,16,28942336,0,1044480,51,365404160,0.127250000834465,0.067500002682209,0.095749996602535,0.96399998664856,200,4026,81,0,0,4235,63,0,0,0,0,0
2017-04-20-19:45:00,380,1065766912,16,0,0,1044480,57,371478528,0.127250000834465,0.11174999922514,0.099500000476837,0.96025002002716,200,4727,148,0,0,4925,137,0,0,0,0,0
2017-04-20-19:45:00,380,1065766912,16,0,0,1044480,57,371478528,0.127250000834465,0.11174999922514,0.099500000476837,0.96025002002716,200,4727,148,0,0,4925,137,0,0,0,0,0
2017-04-20-19:46:00,389,1066168320,16,29040640,0,389447680,63,371634176,0.127250000834465,0.070749998092651,0.10249999910593,0.958999991416931,200,5404,218,0,0,5574,232,0,0,0,0,0
2017-04-20-19:46:00,389,1066168320,16,29040640,0,389447680,63,371634176,0.127250000834465,0.070749998092651,0.10249999910593,0.958999991416931,200,5404,218,0,0,5574,232,0,0,0,0,0
2017-04-20-19:47:00,397,1066090496,16,29040640,0,389447680,63,371634176,0,0.165000006556511,0.10700000077486,0.958750009536743,250,6086,334,0,0,6259,371,0,0,0,0,0
2017-04-20-19:47:00,397,1066090496,16,29040640,0,389447680,63,371634176,0,0.165000006556511,0.10700000077486,0.958750009536743,250,6086,334,0,0,6259,371,0,0,0,0,0
2017-04-20-19:48:00,416,1066176512,16,28979200,0,389128192,63,371634176,0.107500001788139,0.064249999821186,0.105250000953674,0.958000004291534,250,6856,521,0,0,7023,552,0,0,0,0,0
2017-04-20-19:48:00,416,1066176512,16,28979200,0,389128192,63,371634176,0.107500001788139,0.064249999821186,0.105250000953674,0.958000004291534,250,6856,521,0,0,7023,552,0,0,0,0,0
2017-04-20-19:49:00,407,1066266624,21,29048832,0,389128192,63,379940864,0.107500001788139,0.066249996423721,0.112250000238419,0.957249999046326,250,7606,720,0,0,7743,767,0,0,0,0,0
2017-04-20-19:49:00,407,1066266624,21,29048832,0,389128192,63,379940864,0.107500001788139,0.066249996423721,0.112250000238419,0.957249999046326,250,7606,720,0,0,7743,767,0,0,0,0,0
2017-04-20-19:50:00,400,1066217472,21,1069056,0,0,79,382566400,0.107500001788139,0.068750001490116,0.11599999666214,0.956250011920929,300,8338,986,0,0,8484,1048,0,0,0,0,0
2017-04-20-19:50:00,400,1066217472,21,1069056,0,0,79,382566400,0.107500001788139,0.068750001490116,0.11599999666214,0.956250011920929,300,8338,986,0,0,8484,1048,0,0,0,0,0
2017-04-20-19:51:00,404,1067847680,0,29646848,0,1044480,84,387690496,0,0.068999998271465,0.112750001251698,0.957499980926514,300,9148,1314,0,0,9262,1411,0,0,0,0,0
2017-04-20-19:51:00,404,1067847680,0,29646848,0,1044480,84,387690496,0,0.068999998271465,0.112750001251698,0.957499980926514,300,9148,1314,0,0,9262,1411,0,0,0,0,0
2017-04-20-19:52:00,404,1067171840,0,1069056,0,0,84,0,0,0.0625,0.119249999523163,0.957750022411346,300,9897,1703,0,0,10034,1773,0,0,0,0,0
2017-04-20-19:52:00,404,1067171840,0,1069056,0,0,84,0,0,0.0625,0.119249999523163,0.957750022411346,300,9897,1703,0,0,10034,1773,0,0,0,0,0
2017-04-20-19:53:00,410,1067319296,0,29118464,0,0,84,1052672,0,0.066249996423721,0.116750001907349,0.957249999046326,350,10657,2132,0,0,10794,2217,0,0,0,0,0
2017-04-20-19:53:00,410,1067319296,0,29118464,0,0,84,1052672,0,0.066249996423721,0.116750001907349,0.957249999046326,350,10657,2132,0,0,10794,2217,0,0,0,0,0
2017-04-20-19:54:00,406,1067577344,21,29974528,0,1044480,84,1052672,0,0.065999999642372,0.124750003218651,0.957249999046326,350,11422,2705,0,0,11539,2807,0,0,0,0,0
2017-04-20-19:54:00,406,1067577344,21,29974528,0,1044480,84,1052672,0,0.065999999642372,0.124750003218651,0.957249999046326,350,11422,2705,0,0,11539,2807,0,0,0,0,0
2017-04-20-19:55:00,424,1068318720,21,29974528,0,1044480,84,1052672,0,0.065499998629093,0.119000002741814,0.957750022411346,350,12219,3231,0,0,12302,3367,0,0,0,0,0
2017-04-20-19:55:00,424,1068318720,21,29974528,0,1044480,84,1052672,0,0.065499998629093,0.119000002741814,0.957750022411346,350,12219,3231,0,0,12302,3367,0,0,0,0,0
2017-04-20-19:56:00,394,1067196416,21,29974528,0,417017856,84,401395712,0,0.065999999642372,0.123250000178814,0.95550000667572,400,12910,3939,0,0,13010,4081,0,0,0,0,0
2017-04-20-19:56:00,394,1067196416,21,29974528,0,417017856,84,401395712,0,0.065999999642372,0.123250000178814,0.95550000667572,400,12910,3939,0,0,13010,4081,0,0,0,0,0
2017-04-20-19:57:00,403,1068580864,21,29974528,0,0,84,0,0,0.066249996423721,0.121250003576279,0.958249986171722,400,13614,4764,0,0,13703,4931,0,0,0,0,0
2017-04-20-19:57:00,403,1068580864,21,29974528,0,0,84,0,0,0.066249996423721,0.121250003576279,0.958249986171722,400,13614,4764,0,0,13703,4931,0,0,0,0,0
2017-04-20-19:58:00,413,1067438080,21,30814208,0,423571456,84,0,0,0.069750003516674,0.123000003397465,0.957499980926514,400,14262,5650,0,0,14377,5794,0,0,0,0,0
2017-04-20-19:58:00,413,1067438080,21,30814208,0,423571456,84,0,0,0.069750003516674,0.123000003397465,0.957499980926514,400,14262,5650,0,0,14377,5794,0,0,0,0,0
2017-04-20-19:59:00,413,1067778048,21,1069056,83,427110400,84,0,0,0.063000001013279,0.165999993681908,0.957750022411346,500,14918,6644,0,0,15012,6827,0,0,0,0,0
2017-04-20-19:59:00,413,1067778048,21,1069056,83,427110400,84,0,0,0.063000001013279,0.165999993681908,0.957750022411346,500,14918,6644,0,0,15012,6827,0,0,0,0,0
2017-04-20-20:00:00,400,1066721280,21,1069056,91,443838464,84,0,0,0.072499997913838,0.194499999284744,0.959249973297119,500,15673,7820,1,0,15750,8031,0,0,0,0,0
