_DATE host cpuusage memusage 
2017-03-09-15:21:00 middletier-2vpks 11.0 7.74934528E8 
2017-03-09-15:20:00 middletier-2vpks 14.0 7.81193216E8 
2017-03-09-15:20:00 middletier-2vpks 14.0 7.81193216E8 
2017-03-09-15:19:00 middletier-2vpks 13.0 7.82815232E8 
2017-03-09-15:19:00 middletier-2vpks 13.0 7.82815232E8 
2017-03-09-15:18:00 middletier-2vpks 8.0 7.84392192E8 
2017-03-09-15:18:00 middletier-2vpks 8.0 7.84392192E8 
2017-03-09-15:17:00 middletier-2vpks 8.0 7.85969152E8 
2017-03-09-15:17:00 middletier-2vpks 8.0 7.85969152E8 
2017-03-09-15:16:00 middletier-2vpks 8.0 7.88672512E8 
2017-03-09-15:16:00 middletier-2vpks 8.0 7.88672512E8 
2017-03-09-15:15:00 middletier-2vpks 6.0 7.88594688E8 
2017-03-09-15:15:00 middletier-2vpks 6.0 7.88594688E8 
2017-03-09-15:14:00 middletier-2vpks 5.0 7.89643264E8 
2017-03-09-15:14:00 middletier-2vpks 5.0 7.89643264E8 
2017-03-09-15:13:00 middletier-2vpks 1.0 7.90646784E8 
2017-03-09-15:13:00 middletier-2vpks 1.0 7.90646784E8 
2017-03-09-15:12:00 middletier-2vpks 1.0 7.90646784E8 
2017-03-09-15:12:00 middletier-2vpks 1.0 7.90646784E8 
2017-03-09-15:09:00 middletier-2vpks 1.0 null 
2017-03-09-15:09:00 middletier-2vpks 1.0 null 
