_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count25	status_200_count4	status_500_count25	status_500_count4	status_0_count25	status_0_count4	status_other_count25	status_other_count4	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Tue Jun 06 14:44:00 UTC 2017	105.0	1.048870912E9	2107866.25	8.0	2.70336E7	30538.64453125	23.0	1.053032448E9	5638.9892578125	13.0	24.0	1.028591616E9	1.000292352E9	267436.9375	null	0.07175000011920929	0.06549999862909317	0.07000000029802322	0.9822499752044678	0.7934137582778931	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	321.0	321.0	318.0	318.0	322.0	319.0	320.0	322.0	317.0	319.0	
Tue Jun 06 14:43:00 UTC 2017	97.0	1.048653824E9	2691.89990234375	8.0	2.7029504E7	29112.46484375	25.0	1.05299968E9	5605.357421875	13.0	25.0	1.03804928E9	1.006600192E9	267436.9375	null	0.07699999958276749	0.0637499988079071	0.07349999994039536	0.9829999804496765	0.7950552105903625	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	318.0	321.0	325.0	317.0	316.0	323.0	322.0	321.0	321.0	322.0	321.0	
Tue Jun 06 14:42:00 UTC 2017	100.0	1.048584192E9	2691.89990234375	8.0	2.6927104E7	29112.46484375	24.0	1.052737536E9	5573.07373046875	13.0	24.0	1.04593408E9	1.020289024E9	226912.359375	472383.25	0.07625000178813934	0.06424999982118607	0.06724999845027924	0.9827499985694885	0.7930086255073547	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	318.0	320.0	316.0	321.0	321.0	321.0	318.0	323.0	318.0	319.0	321.0	
Tue Jun 06 14:41:00 UTC 2017	101.0	1.04747008E9	2691.89990234375	7.0	2.6902528E7	29117.162109375	24.0	1.052708864E9	5541.83056640625	13.0	24.0	1.045925888E9	1.026572288E9	226912.359375	472383.25	0.09974999725818634	0.05849999934434891	0.0754999965429306	0.9825000166893005	0.7926034927368164	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	318.0	318.0	317.0	320.0	320.0	321.0	320.0	321.0	321.0	320.0	
Tue Jun 06 14:40:00 UTC 2017	96.0	1.047240704E9	2691.89990234375	6.0	2.6947584E7	26822.607421875	26.0	1.052762112E9	6101.666015625	12.0	22.0	1.048543232E9	1.034477568E9	226912.359375	472383.25	0.07400000095367432	0.06449999660253525	0.07150000333786011	0.9832500219345093	0.7923837900161743	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	322.0	321.0	318.0	322.0	320.0	320.0	319.0	323.0	323.0	320.0	
Tue Jun 06 14:39:00 UTC 2017	84.0	1.047207936E9	2691.89990234375	3.0	2.691072E7	13695.31640625	24.0	1.05263104E9	54.164615631103516	9.0	15.0	1.04853504E9	1.03446528E9	124953.8828125	192040.3125	0.07774999737739563	0.060750000178813934	0.08299999684095383	0.987500011920929	0.7924699187278748	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	326.0	330.0	330.0	330.0	328.0	327.0	326.0	326.0	330.0	330.0	330.0	
Tue Jun 06 14:38:00 UTC 2017	43.0	1.047281664E9	2691.89990234375	0.0	2.551808E7	0.0	3.0	1.0569728E9	54.164615631103516	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.07625000178813934	0.048250000923871994	0.060750000178813934	0.9922500252723694	0.7941285371780396	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	336.0	339.0	334.0	333.0	334.0	339.0	337.0	338.0	341.0	340.0	335.0	
Tue Jun 06 14:37:00 UTC 2017	0.0	1.047281664E9	2691.89990234375	0.0	2.5616384E7	0.0	2.0	1.058275328E9	54.164615631103516	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.07800000160932541	0.05649999901652336	0.04475000128149986	0.9922500252723694	0.7929303050041199	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	331.0	334.0	337.0	333.0	337.0	334.0	333.0	333.0	334.0	335.0	340.0	
Tue Jun 06 14:36:00 UTC 2017	0.0	1.047281664E9	2691.89990234375	0.0	2.5616384E7	0.0	2.0	1.058275328E9	54.164615631103516	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.08150000125169754	0.0494999997317791	0.05000000074505806	0.9922500252723694	0.7917839884757996	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	337.0	336.0	334.0	333.0	334.0	339.0	339.0	336.0	338.0	337.0	335.0	
Tue Jun 06 14:35:00 UTC 2017	0.0	1.047281664E9	2691.89990234375	0.0	2.5616384E7	1.2385231256484985	4.0	1.05836544E9	40.5611457824707	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.07349999994039536	0.05900000035762787	0.042750000953674316	0.9922500252723694	0.7917629480361938	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	333.0	336.0	331.0	335.0	335.0	334.0	333.0	338.0	338.0	331.0	339.0	
Tue Jun 06 14:34:00 UTC 2017	0.0	1.047281664E9	2927.91357421875	0.0	2.5616384E7	1.2385231256484985	4.0	1.058275328E9	43.731651306152344	0.0	0.0	1.047150592E9	1.0323968E9	0.0	0.0	0.07800000160932541	0.051500000059604645	0.04724999889731407	0.9922500252723694	0.7940629720687866	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	336.0	339.0	334.0	335.0	337.0	334.0	339.0	334.0	333.0	336.0	335.0	
Tue Jun 06 14:33:00 UTC 2017	0.0	1.047281664E9	2927.91357421875	0.0	2.5616384E7	1.2385231256484985	2.0	1.058275328E9	43.018184661865234	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.0767500028014183	0.05324999988079071	0.04975000023841858	0.9922500252723694	0.791728675365448	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	335.0	333.0	337.0	337.0	334.0	335.0	338.0	338.0	337.0	335.0	335.0	
Tue Jun 06 14:32:00 UTC 2017	0.0	1.047281664E9	2267.84765625	0.0	2.5616384E7	1.2385231256484985	2.0	1.058062336E9	52.46725082397461	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.14650000631809235	0.045249998569488525	0.057999998331069946	0.9922500252723694	0.7939984202384949	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	337.0	335.0	337.0	334.0	338.0	336.0	334.0	333.0	338.0	335.0	333.0	
Tue Jun 06 14:31:00 UTC 2017	0.0	1.047281664E9	2729.783447265625	0.0	2.5616384E7	0.0	2.0	1.058062336E9	40.36167526245117	0.0	0.0	1.047150592E9	1.0323968E9	0.0	0.0	0.09175000339746475	0.05624999850988388	0.04349999874830246	0.9922500252723694	0.7916969060897827	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	336.0	335.0	337.0	335.0	337.0	335.0	336.0	333.0	337.0	337.0	
Tue Jun 06 14:30:00 UTC 2017	0.0	1.047281664E9	2729.783447265625	0.0	2.5616384E7	0.0	2.0	1.058152448E9	43.57864761352539	0.0	0.0	1.047150592E9	1.0323968E9	0.0	0.0	0.0767500028014183	0.04749999940395355	0.051249999552965164	0.9919999837875366	0.7930340766906738	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	335.0	337.0	333.0	332.0	337.0	334.0	335.0	334.0	338.0	335.0	336.0	
Tue Jun 06 14:29:00 UTC 2017	0.0	1.047281664E9	2729.783447265625	0.0	2.5616384E7	0.0	2.0	1.058062336E9	43.57864761352539	0.0	0.0	1.047150592E9	1.031368704E9	0.0	0.0	0.0742499977350235	0.05050000175833702	0.0442500002682209	0.9922500252723694	0.791678786277771	0.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	337.0	332.0	335.0	333.0	335.0	335.0	337.0	336.0	334.0	336.0	
