Series;Time;Value
cpu/usage_rate.count;2017-07-25T19:11:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:12:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:13:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:14:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:15:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:16:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:17:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:06+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:08+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:10+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:12+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:14+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:16+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:18+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:20+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:22+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:24+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:26+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:28+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:30+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:32+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:34+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:36+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:38+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:40+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:42+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:44+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:46+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:48+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:50+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:52+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:54+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:56+02:00;3
cpu/usage_rate.count;2017-07-25T19:18:58+02:00;3
cpu/usage_rate.count;2017-07-25T19:19:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:19:02+02:00;3
