Time;middletier-jwnhp;Limit;cpu/node_reservation.distinct;cpu/node_utilization.distinct;cpu/usage_rate.count;cfp.distinct {hostname: middletier-jwnhp};cfp.distinct {hostname: middletier-ppdbq};fpm.distinct {hostname: 10.0.11.64};fpm.distinct {hostname: middletier-jwnhp};fpm.distinct {hostname: middletier-ppdbq};test_results.fail_count_elapsed;test_results.fail_count_elapsed
2017-07-27T09:46:47+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:47+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:48+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:48+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:49+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:49+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:50+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:50+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:51+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:51+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:52+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:52+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:53+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:53+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:54+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:54+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:55+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:55+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:56+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:56+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:57+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:57+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:58+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:58+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:59+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:59+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:00+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:00+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:01+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:01+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:02+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:02+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
