sep=;
Time;95th;50th;25th
2017-04-30T17:50:00.000Z;47750309;17276792;11865943
2017-04-30T17:51:00.000Z;55886537;18453140;13159049
2017-04-30T17:52:00.000Z;52008391;18166477;13395126
2017-04-30T17:53:00.000Z;70330905;18882793;12870434
2017-04-30T17:54:00.000Z;75249140;19548352;13720442
2017-04-30T17:55:00.000Z;85896271;20814076;14279846
2017-04-30T17:56:00.000Z;87608863;20639088;13782969
2017-04-30T17:57:00.000Z;136978391;27477515;16816648
2017-04-30T17:58:00.000Z;133314667;25776296;16404115
2017-04-30T17:59:00.000Z;131802990;27731780;15758404
2017-04-30T18:00:00.000Z;183127826;52754561;21985727
2017-04-30T18:01:00.000Z;194725378;69165895;27531298
2017-04-30T18:02:00.000Z;205006351;75033370;30573644
2017-04-30T18:03:00.000Z;212791889;79532239;33435521
2017-04-30T18:04:00.000Z;202956664;74450724;29653495
2017-04-30T18:05:00.000Z;220880764;87072042;39673908
2017-04-30T18:06:00.000Z;97425755;5881065;1769742
2017-04-30T18:07:00.000Z;88051636;10424916;8124967
2017-04-30T18:08:00.000Z;99963370;14670021;12474958
2017-04-30T18:09:00.000Z;81670211;18017311;12377483
2017-04-30T18:10:00.000Z;89718604;18007580;10639237
2017-04-30T18:11:00.000Z;100535950;16812637;12186028
2017-04-30T18:12:00.000Z;89069756;12463145;7070325
2017-04-30T18:13:00.000Z;97006424;12711320;8584545
2017-04-30T18:14:00.000Z;89013418;15830283;9386984
2017-04-30T18:15:00.000Z;98716835;15232505;7874354
2017-04-30T18:16:00.000Z;88199961;14406043;7753498
2017-04-30T18:17:00.000Z;97699268;17175861;11987218
2017-04-30T18:18:00.000Z;88947518;14534982;6460957
2017-04-30T18:19:00.000Z;81068298;12479755;7692038
2017-04-30T18:20:00.000Z;85347251;15392702;11060275
2017-04-30T18:21:00.000Z;73038112;15277779;9901374
2017-04-30T18:22:00.000Z;48257533;13978619;8728837
2017-04-30T18:23:00.000Z;53167560;15227698;11507850
2017-04-30T18:24:00.000Z;48303206;15289296;10964906
2017-04-30T18:25:00.000Z;36290499;14518301;9696067
2017-04-30T18:26:00.000Z;37967087;16006691;11515204
2017-04-30T18:27:00.000Z;43732576;15854013;11359178
2017-04-30T18:28:00.000Z;35110898;15588435;10515710
2017-04-30T18:29:00.000Z;41060800;17299246;12830228
2017-04-30T18:30:00.000Z;45424742;17775739;13102896
2017-04-30T18:31:00.000Z;44700481;16580520;11656142
2017-04-30T18:32:00.000Z;39495769;17061619;12621328
2017-04-30T18:33:00.000Z;44057734;17160922;12344629
2017-04-30T18:34:00.000Z;43987081;16716935;11797935
2017-04-30T18:35:00.000Z;53179577;18730618;13108455
2017-04-30T18:36:00.000Z;61165581;18671246;13245145
2017-04-30T18:37:00.000Z;83120059;19879936;13667211
2017-04-30T18:38:00.000Z;84661912;21322750;14996980
2017-04-30T18:39:00.000Z;77053737;19919191;13888250
2017-04-30T18:40:00.000Z;104766281;23149119;14940090
2017-04-30T18:41:00.000Z;130337747;27949751;17239514
2017-04-30T18:42:00.000Z;116257952;25567296;16243281
2017-04-30T18:43:00.000Z;174445066;42235947;19647604
2017-04-30T18:44:00.000Z;199255893;66219570;26376411
2017-04-30T18:45:00.000Z;207014024;71636377;27206410
2017-04-30T18:46:00.000Z;216183103;82348184;33904738
2017-04-30T18:47:00.000Z;217488261;82248627;34087637
2017-04-30T18:48:00.000Z;223014945;80136920;34246100
2017-04-30T18:49:00.000Z;null;null;null
2017-04-30T18:50:00.000Z;80103171;7750276;5434476
2017-04-30T18:51:00.000Z;107526519;17774865;10640658
2017-04-30T18:52:00.000Z;90698049;15753825;10372326
2017-04-30T18:53:00.000Z;90648659;13803142;10954619
2017-04-30T18:54:00.000Z;98418791;18894169;12751324
2017-04-30T18:55:00.000Z;100476204;22257492;15809959
2017-04-30T18:56:00.000Z;87680032;17461850;10811033
2017-04-30T18:57:00.000Z;91434924;19796285;14392554
2017-04-30T18:58:00.000Z;97990959;20510078;15497545
2017-04-30T18:59:00.000Z;86522222;15972280;7632263
2017-04-30T19:00:00.000Z;87677133;17235260;10837410
2017-04-30T19:01:00.000Z;99004908;17571496;12729985
2017-04-30T19:02:00.000Z;85937058;12401857;6452600
2017-04-30T19:03:00.000Z;77423621;14062811;9619624
2017-04-30T19:04:00.000Z;81871313;15281587;11430336
2017-04-30T19:05:00.000Z;54663700;11796776;6774586
2017-04-30T19:06:00.000Z;52084847;14601845;10580803
2017-04-30T19:07:00.000Z;53372697;16356109;12619569
2017-04-30T19:08:00.000Z;42427937;15282436;9475772
2017-04-30T19:09:00.000Z;37892713;15704737;11236595
2017-04-30T19:10:00.000Z;44221314;16371419;12576007
2017-04-30T19:11:00.000Z;36621074;15453527;10332314
2017-04-30T19:12:00.000Z;39801320;16680200;11967726
2017-04-30T19:13:00.000Z;40579347;17874144;12977564
2017-04-30T19:14:00.000Z;41161216;16639213;11057863
2017-04-30T19:15:00.000Z;42943471;16336861;11836388
2017-04-30T19:16:00.000Z;44448866;17810982;13155546
2017-04-30T19:17:00.000Z;52458911;17201707;11889811
2017-04-30T19:18:00.000Z;50302767;17612105;12600705
2017-04-30T19:19:00.000Z;48297138;18480976;13373526
2017-04-30T19:20:00.000Z;75677034;18384148;12633603
2017-04-30T19:21:00.000Z;73048089;19742734;13747972
2017-04-30T19:22:00.000Z;80862321;20827294;14661865
2017-04-30T19:23:00.000Z;94346128;20952640;14344243
2017-04-30T19:24:00.000Z;110601406;25313663;16390333
2017-04-30T19:25:00.000Z;114772490;25616291;16496148
2017-04-30T19:26:00.000Z;159382795;34075029;18366025
2017-04-30T19:27:00.000Z;187823780;62346199;25497677
2017-04-30T19:28:00.000Z;209206506;80057583;34219575
2017-04-30T19:29:00.000Z;216428683;85008740;36442619
