_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count3	status_500_count1	status_500_count3	status_0_count1	status_0_count3	status_other_count1	status_other_count3	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Fri Jun 02 16:47:00 UTC 2017	1.0	1.081667584E9	2497.435791015625	0.0	2.6406912E7	0.0	2.0	5.5179264E8	45.02268600463867	1.0	0.0	5.5402496E8	4.85224448E8	0.0	null	0.06449999660253525	0.0507499985396862	0.04675000160932541	0.9912499785423279	0.6433837413787842	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	330.0	334.0	334.0	334.0	335.0	333.0	332.0	333.0	334.0	333.0	332.0	
Fri Jun 02 16:46:00 UTC 2017	1.0	1.082679296E9	2497.435791015625	0.0	2.6406912E7	0.0	3.0	5.51788544E8	45.02268600463867	0.0	0.0	5.54074112E8	4.85376E8	0.0	0.0	0.07850000262260437	0.04800000041723251	0.04774999991059303	0.9915000200271606	0.6433959603309631	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	336.0	334.0	334.0	337.0	333.0	333.0	333.0	335.0	333.0	335.0	333.0	
Fri Jun 02 16:45:00 UTC 2017	1.0	1.081667584E9	2497.435791015625	0.0	2.5399296E7	0.0	2.0	5.5164928E8	59.997432708740234	0.0	0.0	5.54164224E8	4.85466112E8	0.0	null	0.06849999725818634	0.057750001549720764	0.04574999958276749	0.9917500019073486	0.643371045589447	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	336.0	331.0	331.0	333.0	338.0	335.0	333.0	334.0	334.0	334.0	
Fri Jun 02 16:44:00 UTC 2017	1.0	1.082679296E9	2497.435791015625	0.0	2.5399296E7	0.0	2.0	5.51559168E8	44.03705596923828	2.0	1.0	5.53238528E8	4.85556224E8	0.0	null	0.07325000315904617	0.04774999991059303	0.04975000023841858	0.9912499785423279	0.6455859541893005	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	333.0	335.0	331.0	329.0	332.0	334.0	337.0	333.0	331.0	333.0	
Fri Jun 02 16:43:00 UTC 2017	1.0	1.082679296E9	2804.27099609375	0.0	2.6406912E7	0.0	4.0	5.51559168E8	44.03705596923828	1.0	1.0	5.54336256E8	4.85646336E8	0.0	null	0.07975000143051147	0.05324999988079071	0.045249998569488525	0.9915000200271606	0.6433759331703186	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	331.0	336.0	334.0	335.0	335.0	335.0	335.0	330.0	332.0	335.0	333.0	
Fri Jun 02 16:42:00 UTC 2017	1.0	1.082679296E9	2590.2802734375	0.0	2.5399296E7	0.0	3.0	5.51559168E8	45.19928741455078	1.0	1.0	5.5341056E8	4.85736448E8	0.0	null	0.07450000196695328	0.05000000074505806	0.04724999889731407	0.9909999966621399	0.6433734893798828	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	328.0	332.0	333.0	330.0	333.0	330.0	332.0	334.0	331.0	331.0	
Fri Jun 02 16:41:00 UTC 2017	2.0	1.082658816E9	2427.38427734375	0.0	2.6406912E7	0.0	6.0	5.51559168E8	37.81855773925781	2.0	3.0	5.54512384E8	4.8582656E8	0.0	null	0.09425000101327896	0.05299999937415123	0.04975000023841858	0.9912499785423279	0.6433656215667725	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	335.0	336.0	329.0	335.0	336.0	331.0	337.0	333.0	337.0	331.0	335.0	
Fri Jun 02 16:40:00 UTC 2017	1.0	1.082658816E9	3188.680419921875	0.0	2.5399296E7	0.0	3.0	5.49527552E8	5356.42431640625	1.0	2.0	5.5359488E8	4.85896192E8	0.0	null	0.07150000333786011	0.05649999901652336	0.0507499985396862	0.9915000200271606	0.6433475613594055	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	332.0	336.0	335.0	333.0	337.0	333.0	336.0	329.0	336.0	336.0	
Fri Jun 02 16:39:00 UTC 2017	1.0	1.082658816E9	8630673.0	7.0	2.5399296E7	142196.75	14.0	5.4943744E8	5356.42431640625	32.0	14.0	5.53680896E8	4.86047744E8	673256.875	1656329.125	0.0820000022649765	0.0625	0.06575000286102295	0.9810000061988831	0.6433475613594055	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	319.0	321.0	311.0	315.0	318.0	320.0	321.0	324.0	317.0	316.0	
Fri Jun 02 16:38:00 UTC 2017	69.0	1.08177408E9	8630673.0	32.0	3.0957568E7	142196.75	84.0	5.49462016E8	19600.501953125	102.0	109.0	5.46029568E8	4.83897344E8	1392398.0	1950859.5	0.06949999928474426	0.15800000727176666	0.15974999964237213	0.9567499756813049	0.6434311866760254	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	282.0	280.0	277.0	276.0	279.0	278.0	275.0	277.0	279.0	279.0	276.0	
